distance,groupID,canteenTime,pastExperience,canteenExperience,canteen
0,3,1.471197637,0.6,0.5,2
0,3,1.68956945,0.55,0.5,1
0,3,2.699187702,0.325,0.6,1
0,1,0.05514889,0.625,0.5,0
0.5,1,0.36723593,0.8,0.7,1
0,1,1.07474334,0.675,0.5,0
0.5,1,1.386645767,0.55,0.5,1
0,1,2.087219582,0.55,0.6,0
0,1,0.669461266,0.475,0.5,3
0.5,1,2.483373862,0.425,0.5,1
0,1,1.716499204,0.65,0.4,3
0,1,0.672039669,0.6,0.6,4
0,1,1.540038582,0.475,0.2,4
0,1,0.865785366,0.6,0.5,1
0,1,4.31362675,0.625,0.7,0
0,1,1.877267911,0.525,0.4,1
0,1,7.397539326,0.6,0.9,0
0.6,2,0.314345484,0.675,0.6,5
0.5,1,5.5597458,0.625,0.6,0
0.6,2,1.332887667,0.4,0.4,5
0.5,1,6.524311893,0.475,0.3,0
0.6,3,0.145287947,0.475,0.6,5
0,2,5.671892216,0.55,0.5,0
0,3,0.864358477,0.6,0.5,2
0.6,3,1.156498056,0.6,0.5,5
0,2,6.683284616,0.725,0.5,0
0,3,1.883729393,0.725,0.9,2
0.6,3,2.166109876,0.775,0.6,5
0.7,2,7.238305826,0.625,0.5,0
0.7,2,8.249982247,0.65,0.6,0
0.5,1,0.309780558,0.625,0.5,0
0.9,1,0.315327637,0.575,0.5,3
0.5,1,1.335443141,0.475,1,0
0.9,1,1.327308179,0.775,0.6,3
0.5,1,0.928647764,0.425,0.5,1
0,1,2.338350508,0.6,0.5,0
0.9,1,0.67763636,0.525,0.6,4
0.5,1,1.966368203,0.8,0.4,1
0,1,3.357152133,0.625,0.4,0
0.9,1,1.705147104,0.8,1,4
0.5,1,2.984825643,0.55,0.6,1
0,1,4.37501756,0.675,0.7,0
0,1,1.793191642,0.525,0.5,1
0,1,5.382225198,0.625,1,0
0,1,2.807627205,0.6,0.6,1
0,1,6.391445413,0.55,0.5,0
0,2,2.454145547,0.55,0.7,0
0.9,2,0.303984763,0.45,0.5,3
0,2,3.464503866,0.725,0.8,0
0.9,2,1.314559189,0.725,0.5,3
0,3,0.200139427,0.725,0.5,2
0.7,2,0.751828906,0.65,0.2,0
0,3,0.464428663,0.55,0.5,1
0,3,1.213591913,0.6,0.7,2
0.7,2,1.761740649,0.625,0.8,0
0,3,1.473971485,0.55,0.8,1
0,1,0.584765162,0.625,0.7,0
0,1,0.569394112,0.525,0.2,1
0,1,1.617424492,0.625,0.4,0
0.9,1,0.7379502,0.775,0.5,3
0,1,1.622975453,0.6,0.9,1
0,1,2.630398406,0.55,0.7,0
0.9,1,1.740834446,0.575,0.8,3
0.9,1,0.486505237,0.525,0.5,4
0.5,1,1.17158952,0.8,0.6,1
0,1,3.654877522,0.675,0.4,0
0.9,1,1.507264485,0.8,1,4
0.5,1,2.200806459,0.425,0.5,1
0,1,4.674880319,0.6,0.3,0
0.5,1,3.210939677,0.55,0.5,1
0.5,1,1.412119304,0.625,0.7,0
0.5,1,2.425492503,0.475,0.9,0
0,2,2.203775266,0.55,0.4,0
0,2,3.219377821,0.725,0.4,0
0.6,2,0.836004208,0.675,0.5,5
0.6,2,1.850534723,0.4,0.6,5
0,3,0.537461473,0.55,0.8,1
0,3,0.985261546,0.6,0.7,2
0,3,1.548897869,0.325,1,1
0,3,1.998514137,0.725,0.5,2
0,3,2.560584059,0.55,0.5,1
0,1,0.05075371,0.475,0.7,2
0,1,0.698063591,0.6,1,0
0,1,1.111839039,0.825,0.7,2
0,1,1.002940873,0.675,0.5,0
0,1,2.119524197,0.45,0.6,2
0.9,1,0.497123182,0.775,0.5,3
0,1,2.015829011,0.625,0.3,0
0.9,1,0.46156113,0.525,0.2,4
0.9,1,1.524257242,0.575,0.6,3
0,1,0.776974991,0.6,0.5,1
0.9,1,1.477217778,0.8,0.6,4
